candles

open;close;high;low;value;volume;begin;end
186.23;187.13;187.13;186.23;27124815532.74;0;2020-12-01 00:00:00;2020-12-31 00:00:00
185.53;186.18;186.18;185.53;15303168902.619997;0;2020-11-01 00:00:00;2020-11-30 00:00:00
185.05;185.46;185.54;185.01;25510330593.75;0;2020-10-01 00:00:00;2020-10-31 00:00:00
184.58;185;185;184.54;18814520298.990005;0;2020-09-01 00:00:00;2020-09-30 00:00:00
184.08;184.55;184.55;183.98;4156251378.56;0;2020-08-01 00:00:00;2020-08-31 00:00:00
183.1;183.92;183.99;183.1;5723766012.67;0;2020-07-01 00:00:00;2020-07-31 00:00:00
182.49;183.12;183.14;182.49;15148865498.13;0;2020-06-01 00:00:00;2020-06-30 00:00:00
180.96;182.29;182.29;180.96;42008313128.17999;0;2020-05-01 00:00:00;2020-05-31 00:00:00
179.69;180.82;180.82;179.69;29512178468.19;0;2020-04-01 00:00:00;2020-04-30 00:00:00
178.9;179.65;179.65;178.34;31106497111.309994;0;2020-03-01 00:00:00;2020-03-31 00:00:00
178.62;178.66;179.09;178.62;15148427923.78;0;2020-02-01 00:00:00;2020-02-29 00:00:00
177.88;178.55;178.55;177.66;11260542269.77;0;2020-01-01 00:00:00;2020-01-31 00:00:00
176.35;177.81;177.81;176.35;11420921683.890001;0;2019-12-01 00:00:00;2019-12-31 00:00:00
175.4;176.25;176.25;175.4;16199262632.080004;0;2019-11-01 00:00:00;2019-11-30 00:00:00
174.1;175.38;175.38;174.1;16124045651.600004;0;2019-10-01 00:00:00;2019-10-31 00:00:00
173.01;174.05;174.05;173.01;8256037226.040001;0;2019-09-01 00:00:00;2019-09-30 00:00:00
172.07;172.86;172.86;172.03;8413868828.179999;0;2019-08-01 00:00:00;2019-08-31 00:00:00
170.7;172.01;172.01;170.7;12051026716.189997;0;2019-07-01 00:00:00;2019-07-31 00:00:00
169.29;170.64;170.64;169.29;14804132015.239998;0;2019-06-01 00:00:00;2019-06-30 00:00:00
168.27;169.24;169.3;168.27;32636831102.65;0;2019-05-01 00:00:00;2019-05-31 00:00:00
166.98;168.15;168.15;166.98;18960432721.37;0;2019-04-01 00:00:00;2019-04-30 00:00:00
166.56;166.95;167.03;166.32;14749635468.949999;0;2019-03-01 00:00:00;2019-03-31 00:00:00
164.94;165.93;165.93;164.94;23026297860.69;0;2019-02-01 00:00:00;2019-02-28 00:00:00
164.31;164.91;164.91;164.25;6524884224.02;0;2019-01-01 00:00:00;2019-01-31 00:00:00
163;164.08;164.08;163;14129910519.74;0;2018-12-01 00:00:00;2018-12-31 00:00:00
162.04;162.9;162.91;162.04;16209983282.839998;0;2018-11-01 00:00:00;2018-11-30 00:00:00
161.35;161.99;161.99;161.31;20726457075.74;0;2018-10-01 00:00:00;2018-10-31 00:00:00
160.52;161.22;161.22;160.14;41564168398.42999;0;2018-09-01 00:00:00;2018-09-30 00:00:00
159.57;160.26;160.26;159.57;21784645699.680004;0;2018-08-01 00:00:00;2018-08-31 00:00:00
159;159.58;159.62;159;18462408970.09;0;2018-07-01 00:00:00;2018-07-31 00:00:00
158.24;158.91;158.91;158.24;20148963182.28;0;2018-06-01 00:00:00;2018-06-30 00:00:00
157.63;158.23;158.23;157.56;5658673529.78;0;2018-05-01 00:00:00;2018-05-31 00:00:00
157.24;157.65;157.68;156.29;13327757711.539997;0;2018-04-01 00:00:00;2018-04-30 00:00:00
156.18;157.09;157.09;156.12;21638897092.150005;0;2018-03-01 00:00:00;2018-03-31 00:00:00
155.52;156.13;156.13;155.51;6087727986.23;0;2018-02-01 00:00:00;2018-02-28 00:00:00
154.96;155.61;155.61;154.86;3821127618.1899996;0;2018-01-01 00:00:00;2018-01-31 00:00:00
153.31;154.85;154.85;153.31;4988686309.749999;0;2017-12-01 00:00:00;2017-12-29 00:00:00
152.18;153.26;153.26;152.18;5324296303.83;0;2017-11-01 00:00:00;2017-11-30 00:00:00
151.24;152.29;152.29;151.24;13760579714.919998;0;2017-10-01 00:00:00;2017-10-31 00:00:00
150.2;151.15;151.18;150.2;7757822600.500002;0;2017-09-01 00:00:00;2017-09-30 00:00:00
150.1;150.16;150.3;149.22;5476624816.560001;0;2017-08-01 00:00:00;2017-08-31 00:00:00
149.15;150.06;150.06;149.15;11584820275.8;0;2017-07-01 00:00:00;2017-07-31 00:00:00
147.8;149.18;149.18;147.8;12304217344.300003;0;2017-06-01 00:00:00;2017-06-30 00:00:00
146.94;147.72;147.85;146.94;17101449673.600002;0;2017-05-01 00:00:00;2017-05-31 00:00:00
145.36;146.86;146.86;145.36;17805649763.260002;0;2017-04-01 00:00:00;2017-04-30 00:00:00
144.3;145.24;145.26;144.29;18063349648.81;0;2017-03-01 00:00:00;2017-03-31 00:00:00
143.4;144.14;144.19;143.4;14920648105.34;0;2017-02-01 00:00:00;2017-02-28 00:00:00
142.84;143.4;143.4;142.78;6679143385.31;0;2017-01-01 00:00:00;2017-01-31 00:00:00
141.43;142.77;142.77;141.39;26057034024.370007;0;2016-12-01 00:00:00;2016-12-31 00:00:00
140.12;141.35;141.35;140.12;23891715380.219997;0;2016-11-01 00:00:00;2016-11-30 00:00:00
139.22;140.17;140.17;139.22;14128100507.499998;0;2016-10-01 00:00:00;2016-10-31 00:00:00
138.35;139.16;139.16;138.35;15900778502.300003;0;2016-09-01 00:00:00;2016-09-30 00:00:00
136.77;138.28;138.28;136.77;29821288174.03;0;2016-08-01 00:00:00;2016-08-31 00:00:00
135.6;136.66;136.66;135.6;17581418295.850002;0;2016-07-01 00:00:00;2016-07-31 00:00:00
137.13;135.55;137.49;134.9;17661053394.44;0;2016-06-01 00:00:00;2016-06-30 00:00:00
136.19;137.12;137.12;136.19;3735252724.4299994;0;2016-05-01 00:00:00;2016-05-31 00:00:00
135.5;136.4;136.4;135.5;7828348870.31;0;2016-04-01 00:00:00;2016-04-30 00:00:00
134.52;135.47;135.47;134.52;5766294233.55;0;2016-03-01 00:00:00;2016-03-31 00:00:00
